sample_identifier;sample_type;conc_cip;conc_nap;conc_zol;conc_unit;detailed_description;sampling 
inf_cnz11;Wastewater;0;0;0;ug/L;Influent_without OMP spiking;November_2022
inf_cnz12;Wastewater;10;50;30;ug/L;Influent spiked with mixture cip_nap_zol;November_2022
inf_cnz14;Wastewater;30;10;50;ug/L;Influent spiked with mixture cip_nap_zol;November_2022
inf_cnz17;Wastewater;50;30;10;ug/L;Influent spiked with mixture cip_nap_zol;November_2022
inf_cnz19;Wastewater;5;5;5;ug/L;Influent spiked with mixture cip_nap_zol;November_2022
mb_cnz12;Wastewater;0;0;0;ug/L;MBBR_without OMP spiking;November_2022
mb_cnz13;Wastewater;10;50;30;ug/L;MBBR spiked with mixture cip_nap_zol;November_2022
mb_cnz15;Wastewater;30;10;50;ug/L;MBBR spiked with mixture cip_nap_zol;November_2022
mb_cnz17;Wastewater;50;30;10;ug/L;MBBR spiked with mixture cip_nap_zol;November_2022
mb_cnz19;Wastewater;5;5;5;ug/L;MBBR spiked with mixture cip_nap_zol;November_2022
Gin_cnz11;Wastewater;10;50;30;ug/L;GAK in spiked with mixture_cip_nap_zol;November_2022
Gin_cnz13;Wastewater;30;10;50;ug/L;GAK in spiked with cip_nap_zol;November_2022
Gin_cnz15;Wastewater;50;30;10;ug/L;GAK in spiked with cip_nap_zol;November_2022
Gin_cnz17;Wastewater;5;5;5;ug/L;GAK in spiked with cip_nap_zol;November_2022
Gout_cnz21;Wastewater;10;50;30;ug/L;GAK out spiked with cip_nap_zol;November_2022
Gout_cnz23;Wastewater;30;10;50;ug/L;GAK out spiked with cip_nap_zol;November_2022
Gout_cnz25;Wastewater;50;30;10;ug/L;GAK out spiked with cip_nap_zol;November_2022
Gout_cnz27;Wastewater;5;5;5;ug/L;GAK out spiked with cip_nap_zol;November_2022
inf_cip1;Wastewater;1;0;0;ug/L;Influent spiked with cip;June_2022
inf_cip6;Wastewater;12;0;0;ug/L;Influent spiked with cip;June_2022
inf_cip2;Wastewater;12.5;0;0;ug/L;Influent spiked with cip;June_2022
inf_cip3;Wastewater;25;0;0;ug/L;Influent spiked with cip;June_2022
inf_cip4;Wastewater;37.50;0;0;ug/L;Influent spiked with cip;June_2022
inf_cip9;Wastewater;50;0;0;ug/L;Influent spiked with cip;June_2022
inf_nap8;Wastewater;0;1;0;ug/L;Influent spiked with nap;June_2022
inf_nap9;Wastewater;0;12.5;0;ug/L;Influent spiked with nap;June_2022
inf_nap10;Wastewater;0;25;0;ug/L;Influent spiked with nap;June_2022
inf_nap11;Wastewater;0;37.50;0;ug/L;Influent spiked with nap;June_2022
inf_nap12;Wastewater;0;50;0;ug/L;Influent spiked with nap;June_2022
mb_cip1;Wastewater;1;0;0;ug/L;MBBR spiked with cip;June_2022
mb_cip2;Wastewater;12;0;0;ug/L;MBBR spiked with cip;June_2022
mb_cip3;Wastewater;25;0;0;ug/L;MBBR spiked with cip;June_2022
